1  -83.000000 0.000000
5 1  8 -42.780508 -1191.986691
5 1  9 -49.033189 -Inf
5 1  10 -35.954822 -Inf
5 1  11 -20.715645 -830.404168
5 1  12 -20.687639 -1172.350719
5 1  13 -39.959699 -Inf
5 1  14 -38.022138 -1386.694932
5 1  15 -41.593189 -Inf
5 1  16 -40.472392 -Inf
5 1  17 -18.877963 -1165.615114
5 1  18 -40.230025 -Inf
5 1  19 -39.355888 -Inf
5 1  20 -43.246232 -Inf
5 2  3 -27.890520 -Inf
5 2  4 -27.982925 -1024.661191
5 2  6 -30.757061 -Inf
5 2  7 -32.001810 -Inf
5 2  8 -28.503990 -1026.361070
5 2  9 -30.696278 -Inf
5 2  10 -29.754257 -Inf
5 2  11 -18.965514 -664.778547
5 2  12 -21.941734 -1006.725098
5 2  13 -29.174695 -Inf
5 2  14 -29.615848 -1221.069311
5 2  15 -26.004177 -Inf
5 2  16 -30.898600 -Inf
5 2  17 -19.216281 -999.989493
5 2  18 -25.311327 -Inf
5 2  19 -31.469399 -Inf
